,source,title,url
23,Associated Press,CIA director cancels Harvard speech over 'traitor' Manning,http://hosted2.ap.org/CARIE/6b85546689744819aa7a64cd3ca6cee6/Article_2017-09-14-US--CIA-Harvard/id-99b24c8687404e6590ed4c5fff098b71
24,Associated Press,CIA director cancels Harvard speech over 'traitor' Manning,http://hosted.ap.org/dynamic/stories/U/US_CIA_HARVARD_MAOL-?SITE=CAANR&SECTION=HOME&TEMPLATE=DEFAULT
25,Associated Press,The Colorado Springs Gazette,http://hosted.ap.org/dynamic/stories/U/US_CIA_HARVARD_MAOL-?SITE=COCOL&SECTION=HOME&TEMPLATE=DEFAULT
26,CTV News,CIA director cancels Harvard speech over Chelsea Manning honour,http://www.ctvnews.ca/world/cia-director-cancels-harvard-speech-over-chelsea-manning-honour-1.3590639
27,Beaumont Enterprise,Pompeo cancels Harvard speech over Manning,http://www.beaumontenterprise.com/news/politics/article/Former-CIA-chief-leaves-Harvard-after-Manning-12198386.php
28,Spokesman.com,CIA Director Pompeo cancels Harvard speech over Manning,http://www.spokesman.com/stories/2017/sep/14/cia-director-pompeo-cancels-harvard-speech-over-ma/
29,Associated Press,Pompeo cancels Harvard speech over Manning,http://hosted.ap.org/dynamic/stories/U/US_CIA_HARVARD?SITE=INELK&SECTION=HOME&TEMPLATE=DEFAULT
30,Medicine Hat News,Pompeo cancels Harvard speech over Manning,http://medicinehatnews.com/news/world-news/2017/09/14/pompeo-cancels-harvard-speech-over-manning/
31,star-telegram,Pompeo cancels Harvard speech over Manning,http://www.star-telegram.com/news/politics-government/national-politics/article173339351.html
32,Boston Herald,Pompeo cancels Harvard speech over Manning,http://www.bostonherald.com/news/national/2017/09/pompeo_cancels_harvard_speech_over_manning
33,Dothan Eagle,Pompeo cancels Harvard speech over Manning,http://www.dothaneagle.com/news/ap/politics/pompeo-cancels-harvard-speech-over-manning/article_d752084a-5df4-560b-a75a-8eac6414de28.html
34,WJAX,Former CIA chief leaves Harvard after Manning named fellow,http://www.actionnewsjax.com/news/politics/former-cia-chief-leaves-harvard-after-manning-named-fellow/609412254
35,WFTV,Former CIA chief leaves Harvard after Manning named fellow,http://www.wftv.com/news/politics/former-cia-chief-leaves-harvard-after-manning-named-fellow/609412458
36,The State,Pompeo cancels Harvard speech over Manning,http://www.thestate.com/news/politics-government/national-politics/article173339351.html
37,theweek.com,CIA director skips Harvard speech because of 'traitor' Chelsea Manning,http://theweek.com/speedreads/section/no%20shows
38,centredaily,Pompeo cancels Harvard speech over Manning,http://www.centredaily.com/news/nation-world/article173339351.html
39,Economic Times,Pompeo cancels Harvard speech over Manning,http://economictimes.indiatimes.com/news/international/world-news/pompeo-cancels-harvard-speech-over-manning/articleshow/60521851.cms
40,The News&Observer,Pompeo cancels Harvard speech over Manning,http://www.newsobserver.com/news/politics-government/national-politics/article173339351.html
