source,reputation,articles,size
bigbluevision.com,-1,[],100
DaveJanda.com,-1,[],100
newsbreakshere.com,-1,[],100
sensationalisttimes.com,-1,[],100
thespoof.com,-1,[],100
dennismichaellynch.com,-1,[],100
counterpunch.org,-1,[],100
usapoliticsnow.com,-1,[],100
fprnradio.com,-1,[],100
conservativefiringline.com,-1,[],100
conspiracywire.com,-1,[],100
activistpost.com,-1,[],100
greanvillepost.com,-1,[],100
DeadlyClear.wordpress.com,-1,[],100
FreedomForceInternational.com,-1,[],100
sputniknews.com,-1,[],100
centerforsecuritypolicy.org,-1,[],100
commondreams.org,-1,[],100
amplifyingglass.com,-1,[],100
Empirehearland.com,-1,[],100
theskunk.org,-1,[],100
rumorjournal.com,-1,[],100
winkprogress.com,-1,[],100
nutritionfacts.org,-1,[],100
americanpatriotdaily.com,-1,[],100
witscience.org,-1,[],100
qpolitical.com,-1,[],100
americanprogress.org,-1,[],100
filmsforaction.org,-1,[],100
politicalupdator.com,-1,[],100
openmagazines.com,-1,[],100
yournationnews.com,-1,[],100
eutopia.buzz,-1,[],100
worldwidehealthy.com,-1,[],100
americantoday.news,-1,[],100
newstoad.net,-1,[],100
nationalreport.net,-1,[],100
24wpn.com,-1,[],100
abcnews.com.co,-1,[],100
wearechange.org,-1,[],100
livevote.com,-1,[],100
patriotpost.us,-1,[],100
dallas morning news,0.75,[],100
ifyouonlynews.com,-1,[],100
stormcloudsgathering.com,-1,[],100
concisepolitics.com,-1,[],100
dailytelegraph.com.au,-1,[],100
glossynews.com,-1,[],100
ushealthyadvisor.com,-1,[],100
onlineconservativepress.com,-1,[],100
newcoldwar.org,-1,[],100
americanborderpatrol.com,-1,[],100
veteranstoday.com,-1,[],100
msnbc,-0.2,[],100
americablog.com,-1,[],100
realplanetnews.com,-1,[],100
darkpolitricks.com,-1,[],100
amtvmedia.com,-1,[],100
fox,-0.5,[],100
the blaze,-0.45,[],100
departedmedia.com,-1,[],100
theduran.com,-1,[],100
paulcraigroberts.org,-1,[],100
usamagazinestudio.com,-1,[],100
beforeitsnews.com,-1,[],100
liberalamerica.org,-1,[],100
ky12news.com,-1,[],100
naturalblaze.com,-1,[],100
pollhype.com,-1,[],100
conservativeinfidel.com,-1,[],100
notallowedto.com,-1,[],100
borowitzreport.com,-1,[],100
loanpride.com,-1,[],100
thetruthseeker.co.uk,-1,[],100
usadailypolitics.com,-1,[],100
weshapelife.org,-1,[],100
citizensunited.org,-1,[],100
damnleaks.com,-1,[],100
dailystormer.com,-1,[],100
mrconservative.com,-1,[],100
infostormer.com,-1,[],100
TDTalliance.com,-1,[],100
FarmWars.info,-1,[],100
gomerblog.com,-1,[],100
newswatch33.com,-1,[],100
abovetopsecret.com,-1,[],100
usanewstoday.com,-1,[],100
dailynews5.com,-1,[],100
counterpunch.com,-1,[],100
creativitymovement.net/category/news/,-1,[],100
associated press,0.9,[],100
unconfirmedsources.com,-1,[],100
thedailymash.co.uk,-1,[],100
realfarmacy.com,-1,[],100
therightists.com,-1,[],100
mentor2day.com,-1,[],100
local31news.com,-1,[],100
realnewsrightnow.com,-1,[],100
usapolitics24hrs.com,-1,[],100
vdare.com,-1,[],100
infowars,-0.7,[],100
anonjekloy.tk,-1,[],100
conservativedailypost.com,-1,[],100
dataasylum.com,-1,[],100
redflagnews.com,-1,[],100
theforbiddenknowledge.com,-1,[],100
uspostman.com,-1,[],100
ncscooper.com,-1,[],100
BrotherJohnF.com,-1,[],100
4threvolutionarywar.wordpress.com,-1,[],100
healthnutnews.com,-1,[],100
www.rt.com,-1,[],100
anonews.co,-1,[],100
coasttocoastam.com,-1,[],100
americanoverlook.com,-1,[],100
other98.com,-1,[],100
beehivebugle.com,-1,[],100
usadailytime.com,-1,[],100
conservapedia.com,-1,[],100
OffGridSurvival.com,-1,[],100
ilovemyfreedom.org,-1,[],100
truthfeed.com,-1,[],100
freedomoutpost.com,-1,[],100
libertywritersnews.com,-1,[],100
supremepatriot.com,-1,[],100
dcclothesline.com,-1,[],100
dailyken.com,-1,[],100
libertyunyielding.com,-1,[],100
dineal.com,-1,[],100
politico,0.75,[],100
OCCUPY.com,-1,[],100
resistancereport.com,-1,[],100
presstv.com,-1,[],100
investmentresearchdynamics.com,-1,[],100
themuslimissue.wordpress.com,-1,[],100
lifesitenews.com,-1,[],100
jihadwatch.org,-1,[],100
usanewsinsider.com,-1,[],100
molonlabemedia.com,-1,[],100
federalistpress.com,-1,[],100
unclesamsmisguidedchildren.com,-1,[],100
barnesreview.org,-1,[],100
react365.com,-1,[],100
americannewsx.com,-1,[],100
wnd.com,-1,[],100
katehon.com,-1,[],100
anews24.org/,-1,[],100
awarenessact.com,-1,[],100
barenakedislam.com,-1,[],100
americannews.com,-1,[],100
newpoliticstoday.com,-1,[],100
tmzworldnews.com,-1,[],100
corbettreport.com,-1,[],100
thefreethoughtproject.com,-1,[],100
news4ktla.com,-1,[],100
gatesofvienna.net,-1,[],100
usviewer.com,-1,[],100
KMT11.com,-1,[],100
fmobserver.com,-1,[],100
liberalplug.com,-1,[],100
diversitychronicle.wordpress.com,-1,[],100
breitbart.com,-1,[],100
24newsflash.com,-1,[],100
occupydemocrats.com,-1,[],100
rickwells.us,-1,[],100
hangthebankers.com,-1,[],100
economicnoise.com,-1,[],100
BB4SP.com,-1,[],100
endtime.com,-1,[],100
dailyoccupation.com,-1,[],100
anotherdayintheempire.com,-1,[],100
freshdailyreport.com,-1,[],100
en-vovle.com,-1,[],100
departed.co,-1,[],100
anonhq.com,-1,[],100
yahoo,-0.6,[],100
rilenews.com,-1,[],100
ihavethetruth.com,-1,[],100
dailyusaupdate.com,-1,[],100
healthycareandbeauty.com,-1,[],100
enabon.com,-1,[],100
us.blastingnews.com,-1,[],100
newslo.com,-1,[],100
thedailybeast.com,-1,[],100
WilliamBanzai7.blogspot.com,-1,[],100
libertyvideos.org,-1,[],100
worldtruth.tv,-1,[],100
blacklistednews.com,-1,[],100
sonsoflibertyradio.com,-1,[],100
patriotrising.com,-1,[],100
americanfreepress.net,-1,[],100
fedsalert.com,-1,[],100
thebeaverton.com,-1,[],100
source,reputation,[],100
dailynewsposts.info,-1,[],100
heartland.org,-1,[],100
pbs,0.8,[],100
stuppid.com,-1,[],100
maganews.co,-1,[],100
proamericanews.com,-1,[],100
abc,-0.25,[],100
intellihub.com,-1,[],100
fellowshipoftheminds.com,-1,[],100
nakedcapitalism.com,-1,[],100
buzzfeed,-0.96,[],100
dailynewsbin.com,-1,[],100
returnofkings.com,-1,[],100
conservativebyte.com,-1,[],100
myzonetoday.com,-1,[],100
thenewamerican.com,-1,[],100
trump,-1,[],100
creambmp.com,-1,[],100
thedailysheeple.com,-1,[],100
floridasunpost.com,-1,[],100
wakingtimes.com,-1,[],100
freedomdaily.com,-1,[],100
consciouslifenews.com,-1,[],100
themideastbeast.com,-1,[],100
fakingnews.com,-1,[],100
mrc.org,-1,[],100
ITCCS.org,-1,[],100
worldstoriestoday.com,-1,[],100
nahadaily.com,-1,[],100
presidentialvoting2016.com,-1,[],100
scrappleface.com,-1,[],100
henrymakow.com,-1,[],100
abriluno.com,-1,[],100
lifenews.com,-1,[],100
DIYhours.net,-1,[],100
newsbysquad.com,-1,[],100
npr,0.9,[],100
npiamerica.org,-1,[],100
occupyliberals.com,-1,[],100
amren.com,-1,[],100
addictinginfo.org,-1,[],100
govtslaves.info,-1,[],100
embols.com,-1,[],100
nationindistress.weebly.com,-1,[],100
lewrockwell.com,-1,[],100
readconservatives.news,-1,[],100
nephef.com,-1,[],100
usahitman.com,-1,[],100
usasupreme.com,-1,[],100
illuminati-news.com,-1,[],100
thehardtimes.net,-1,[],100
SovereignMan.com,-1,[],100
informetoday.com,-1,[],100
uschronicle.com,-1,[],100
undergroundnewsreport.com,-1,[],100
president45donaldtrump.com,-1,[],100
krbcnews.com,-1,[],100
enhlive.com,-1,[],100
WallStreetOnParade.com,-1,[],100
cnnews3.com,-1,[],100
gangstergovernment.com,-1,[],100
actualidadpanamericana.com,-1,[],100
theuspatriot.com,-1,[],100
bignuggetnews.com,-1,[],100
washingtonsblog.com,-1,[],100
onepoliticalplaza.com,-1,[],100
cryptogon.com,-1,[],100
majorthoughts.com,-1,[],100
thenewsdoctors.com,-1,[],100
neonnettle.com,-1,[],100
theshovel.com.au,-1,[],100
unz.com,-1,[],100
nbc.com.co,-1,[],100
newsninja2012.com,-1,[],100
weeklyworldnews.com,-1,[],100
Dont-Tread-On.Me,-1,[],100
heresyblog.net,-1,[],100
themindunleashed.com,-1,[],100
newstarget.com,-1,[],100
duffleblog.com,-1,[],100
oilgeopolitics.net,-1,[],100
thebostontribune.com,-1,[],100
city-journal.org,-1,[],100
nodisinfo.com,-1,[],100
mediamass.net,-1,[],100
pravda.ru,-1,[],100
theracketreport.com,-1,[],100
cityworldnews.com,-1,[],100
orientalreview.org,-1,[],100
conservativerefocus.com,-1,[],100
thewatchtowers.com,-1,[],100
rawforbeauty.com,-1,[],100
thedailywtf.com,-1,[],100
advocate.com,-1,[],100
bigamericannews.com,-1,[],100
prisonplanet.com,-1,[],100
huffington post,-0.55,[],100
usfanzone.com,-1,[],100
ddemocraticunderground.com,-1,[],100
ahtribune.com,-1,[],100
conservativefighters.com,-1,[],100
nasamoonhoax.com,-1,[],100
Boilingfrogspost.com,-1,[],100
associatedmediacoverage.com,-1,[],100
CNSNews.com,-1,[],100
lifeandabout.com,-1,[],100
prntly.com,-1,[],100
der-postillon.com,-1,[],100
iwanttoexplore.com,-1,[],100
proudemocrat.com,-1,[],100
thinkprogress.org,-1,[],100
projectveritas.com,-1,[],100
webdaily.com,-1,[],100
bigbluevision.org,-1,[],100
endoftheamericandream.com,-1,[],100
politicalo.com,-1,[],100
the rush limbaugh show,-0.3,[],100
dailysnark.com,-1,[],100
thewashingtonpress.com,-1,[],100
skeptiko.com,-1,[],100
thefreepatriot.org,-1,[],100
ItMakesSenseBlog.com,-1,[],100
empiresports.co,-1,[],100
unitedmediapublishing.com,-1,[],100
yournewswire.com,-1,[],100
oftwominds.com,-1,[],100
thefederalistpapers.org,-1,[],100
lifeprevention.com,-1,[],100
interestingdailynews.com,-1,[],100
drudge report,-0.1,[],100
theeventchronicle.com,-1,[],100
undergroundworldnews.com,-1,[],100
Mad-Yet.blogspot.com,-1,[],100
fromthetrenchesworldreport.com,-1,[],100
themoralofthestory.us,-1,[],100
indiaarising.com,-1,[],100
subjectpolitics.com,-1,[],100
dailyleak.org,-1,[],100
glaringhypocrisy.com,-1,[],100
fourwinds10.net,-1,[],100
politicsusanews.com,-1,[],100
openmindmagazine.com,-1,[],100
EbolaHoax.com,-1,[],100
empireherald.com,-1,[],100
ihr.org,-1,[],100
dcgazette.com,-1,[],100
ancient-code.com,-1,[],100
jackpineradicals.com,-1,[],100
theamericanindependent.wordpress.com,-1,[],100
teaparty.org,-1,[],100
DollarVigilante.com,-1,[],100
counterpsyops.com,-1,[],100
Silver-Coin-Investor. com,-1,[],100
Dutchsinse.com,-1,[],100
meanlefthook.com,-1,[],100
heritage.org,-1,[],100
dailysignal.com,-1,[],100
bvanews.com,-1,[],100
icr.org,-1,[],100
DonaldTrumpPotus45.com,-1,[],100
channel-7-news.com,-1,[],100
worldnewspolitics.com,-1,[],100
conservativereview.com,-1,[],100
aheadoftheherd.com,-1,[],100
objectiveministries.org,-1,[],100
SilverDoctors.com,-1,[],100
platosguns.com,-1,[],100
Emptywheel.net,-1,[],100
politicono.com,-1,[],100
thepoke.co.uk,-1,[],100
al jazeera,0.85,[],100
donaldtrumpnews.co,-1,[],100
topekasnews.com,-1,[],100
in5d.com,-1,[],100
enduringvision.com,-1,[],100
thepoliticalinsider.com,-1,[],100
celebtricity.com,-1,[],100
theonion.com,-1,[],100
northcrane.com,-1,[],100
truthrevolt.org,-1,[],100
now8news.com,-1,[],100
weeklystandard.com,-1,[],100
socialeverythings.com,-1,[],100
nationalreview.com,-1,[],100
heatst.com,-1,[],100
chicksontheright.com,-1,[],100
collectivelyconscious.net,-1,[],100
asia-pacificresearch.com,-1,[],100
dailykos.com,-1,[],100
extraclubmagazine.com,-1,[],100
time,0.6,[],100
humortimes.com,-1,[],100
dissentmagazine.org,-1,[],100
thenet24h.com,-1,[],100
thegatewaypundit.com,-1,[],100
